Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Spt_C,Oct_C,Nov_C,Dec_C,Annual, Month,Station
2018,28,32,34,35.5,35.1,34.5,35.8,35.5,36.5,34.5,32,30.3,36.5,9,Chattogram_Airport
2019,31.5,32.6,35.4,36.4,34.8,35.2,33.3,35.2,35.1,34.5,34,31.2,36.4,4,Chattogram_Airport
2020,30.3,30.2,35.7,35,36.3,34.2,33.3,34.5,35.1,36,34.2,31.3,36.3,5,Chattogram_Airport
2021,31.9,32.8,38.7,37,37.8,34.6,35.4,34,35.3,35.6,33.2,32.2,38.7,3,Chattogram_Airport
2022,31.3,33,34.4,34,35,34,35.5,36.7,35,35,34.2,31.6,36.7,8,Chattogram_Airport
2018,30.2,33.1,34.7,35.7,35.2,34,36,34,36.8,34.7,32.6,30,36.8,9,Chattogram_Ambagan
2019,31.2,33.2,35.5,37.5,35.5,35.2,33.7,35.2,35.6,35,33.8,32.6,37.5,4,Chattogram_Ambagan
2020,31.8,32,36.5,36,37.8,34,33.7,35,36.5,37.2,35,31.8,37.8,5,Chattogram_Ambagan
2021,33.2,34,39.2,38,37.2,33.6,34.4,33.7,36.5,35.5,33.8,32.5,39.2,3,Chattogram_Ambagan
2022,30,34,34.8,35.4,34.5,34.4,35,36.5,35.4,35.5,34.5,32.4,36.5,8,Chattogram_Ambagan
2018,27,32,33,34.1,34.6,34.4,34.3,36,35.3,34,32.2,29.5,36,8,Kutubdia
2019,30.8,30.8,34.5,36,36,36.9,33.6,34.2,34.5,34.5,33.8,31,36.9,6,Kutubdia
2020,29,29.5,34,34.1,35,34.5,33.5,34,35,35.3,33,30.3,35.3,10,Kutubdia
2021,29.5,30,38.6,37,37.2,36.8,35,33.2,34.5,35.2,33.2,32,38.6,3,Kutubdia
2022,28.2,32.5,32.8,34.5,34.5,34,34.2,36,34.8,34.3,33.6,31.5,36,8,Kutubdia
2018,27.2,33.2,35.2,36.5,35.4,35.5,36,35.5,36,34.9,32.2,29.3,36.5,4,Rangamati
2019,30.2,33.8,37,37.7,37.2,36.2,35.5,35.8,35.5,34.5,34,29.2,37.7,4,Rangamati
2020,29,32.3,37.4,38.2,37.5,35.5,34.6,36,36,36.5,33.5,30,38.2,4,Rangamati
2021,30.5,33,38.5,39.5,39,35.3,35,34.5,35.6,35.5,33.3,30.5,39.5,4,Rangamati
2022,29,32.5,37.5,37,37,34,36,37.5,35.4,34.5,34.5,31.2,37.5,3,Rangamati
