Year,Jan(mb),Feb(mb),Mar(mb),Apr(mb),May(mb),Jun(mb),Jul(mb),Aug(mb),Sep(mb),Oct(mb),Nov(mb),Dec(mb),Annual,Station
2018,1011.7,1012.3,1009.3,1008,1006,1000.5,999.8,1000.4,1006.2,1011,1013.1,1013.7,1007.7,Chattogram_Airport
2019,1015,1013.7,1011.3,1008.5,1005.9,1002.4,1002.2,1001.8,1007.2,1010.4,1011.7,1014.9,1008.8,Chattogram_Airport
2020,1014.6,1014.6,1011.1,1009.9,1006.4,1003.9,1003.8,1001.9,1005.2,1006.3,1012.5,1013.1,1008.6,Chattogram_Airport
2021,1012.6,1012.2,1009.5,1008.4,1005.6,1003.1,1001.9,1004.3,1005.3,1007.7,1010.8,1014.3,1008,Chattogram_Airport
2022,1013.2,1012.2,1008.5,1007.9,1004,1003.6,1003,1002.9,1005.8,1009.2,1011.1,1012.1,1007.8,Chattogram_Airport
2018,1009.8,1010.5,1007.6,1006.2,1004.4,998.9,998.2,998.8,1004.3,1008.8,1010.8,1011.5,1005.8,Chattogram_Ambagan
2019,1012.8,1011.3,1009,1006.4,1003.7,1000.3,1000,999.7,1004.9,1008.1,1009.4,1012.7,1006.5,Chattogram_Ambagan
2020,1012.3,1012.4,1008.9,1007.7,1004.2,1001.7,1001.7,999.7,1002.9,1004.6,1010.8,1011.1,1006.5,Chattogram_Ambagan
2021,1010.5,1010.1,1007.4,1006.3,1003.5,1001,999.7,1002.2,1003.1,1005.4,1008.6,1012.2,1005.8,Chattogram_Ambagan
2022,1011,1010,1006.4,1005.6,1001.8,1001.5,1001.3,1001.2,1004.1,1007.4,1009.4,1010.5,1005.9,Chattogram_Ambagan
2018,1011.8,1012.7,1009.9,1008.5,1006.6,1001.3,1000.5,1001,1006.4,1010.8,1012.8,1013.4,1008,Kutubdia
2019,1014.7,1013.8,1011.4,1008.6,1006.1,1002.8,1002.4,1002,1007,1010.2,1011.4,1014.7,1008.7,Kutubdia
2020,1014.5,1014.7,1011.7,1010.4,1006.4,1004.2,1004.4,1003.2,1005.3,1006.3,1012.4,1013.1,1008.9,Kutubdia
2021,1012.7,1012.6,1010,1008.6,1006.1,1003.6,1003.2,1004.3,1005.4,1007.6,1010.6,1014.2,1008.2,Kutubdia
2022,1013.3,1012.1,1009.1,1008.2,1004.7,1004.2,1002.9,1003.1,1005.8,1008.8,1010.9,1011.8,1007.9,Kutubdia
2018,1005.3,1005.9,1002.9,1001.8,1000.2,994.4,993.5,994.2,1000,1004.4,1006.4,1006.8,1001.3,Rangamati
2019,1008.3,1006.9,1004.5,1001.7,999.2,995.6,995.5,995,1000.3,1003.5,1004.8,1008.1,1001.9,Rangamati
2020,1007.7,1007.7,1004.1,1003,999.7,997.1,997.3,995.1,998.4,999.6,1005.8,1006.4,1001.8,Rangamati
2021,1005.7,1005.5,1002.6,1001.4,999,996.4,995.1,997.6,998.6,1001,1004.2,1007.7,1001.2,Rangamati
2022,1006.4,1005.3,1001.7,1000.9,997.2,996.8,995.8,996.1,999.1,1002.2,1004.4,1005,1000.9,Rangamati
