Index,Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,June_C,July_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C,Station
11921,2018,13.4,17.2,21.8,23.6,24.2,25.7,25.7,25.6,25.4,23,18.9,15.5,Chattogram_Airport
11921,2019,14.3,16.5,19.6,23.6,26.1,26.3,26.2,25.8,25.7,25,21.3,15.5,Chattogram_Airport
11921,2020,14.5,14,18.1,23.2,24.6,25.9,25.9,25.9,25.9,25.3,20.1,15.9,Chattogram_Airport
11921,2021,14.7,15.4,20,23.6,24.6,25.3,25.8,26,25.5,25.1,19.5,16.7,Chattogram_Airport
11921,2022,15.1,13.8,20.4,25,25.4,25.9,25.7,25.5,25.6,24.2,20,16.9,Chattogram_Airport
41977,2018,14.3,17.4,21.5,23.5,24.8,26.4,26.4,25.9,25.9,23.6,19,16,Chattogram_Ambagan
41977,2019,14.2,15.5,18.9,23.4,25.9,25.9,25.7,25.8,25.3,24.6,21.2,15.9,Chattogram_Ambagan
41977,2020,14.8,13.7,18.6,23.8,25.7,26.2,26.1,25.7,26,25.9,21.2,17,Chattogram_Ambagan
41977,2021,15.5,15.9,20.7,24.3,24.8,25.3,25.7,25.8,25.5,25.4,19.7,16.6,Chattogram_Ambagan
41977,2022,15,13.4,19.6,26,25.9,26.2,26.7,26.1,25.9,24.6,20.3,17,Chattogram_Ambagan
11925,2018,14.1,18,22.2,23.4,24.2,25.6,25.5,25.6,25.7,23.3,19.5,16,Kutubdia
11925,2019,15.2,18.1,21.5,24.2,26.4,26,25.9,25.8,25.5,25,21.6,16.8,Kutubdia
11925,2020,15.7,16,20.7,23.6,25.1,25.8,25.9,25.6,26.1,25.6,21.6,16.6,Kutubdia
11925,2021,15.9,17,21.8,24.2,25,25.3,25.6,25.8,25.5,25.3,21.3,17.6,Kutubdia
11925,2022,15.8,17.7,23.3,25.1,25.1,25.4,25.6,25.5,25.5,24.6,21.7,18.2,Kutubdia
12007,2018,12.5,14.4,17,20.1,21.9,23.4,23.9,22.9,23,21.7,16.2,14,Rangamati
12007,2019,12.3,14.1,17,20.7,23.3,24.4,24.5,24.5,24.1,23.5,19.7,14.9,Rangamati
12007,2020,13.8,12.9,15.9,20.2,22,23.8,23.7,23.5,24,23.9,19.8,15,Rangamati
12007,2021,13.4,13.2,17.3,20.7,21.6,24,24.3,23.4,23.8,23.8,19.8,16.3,Rangamati
12007,2022,14.1,12.7,18,22.1,23.7,23,21.4,23.6,22.6,21.2,18.4,16.1,Rangamati
