Year,Jan_Avg%,Feb_Avg%,Mar_Avg%,Apr_Avg%,May_Avg%,Jun_Avg%,Jul_Avg%,Aug_Avg%,Sep_Avg%,Oct_Avg%,Nov_Avg%,Dec_Avg%, Annual,Station
2018,71,72,76,76,79,85,85,82,81,80,73,72,77,Chattogram_Airport
2019,69,70,70,74,78,81,89,83,85,82,78,73,77,Chattogram_Airport
2020,73,65,63,76,76,84,86,86,84,81,74,74,76,Chattogram_Airport
2021,70,67,66,72,74,85,86,87,82,80,68,73,75,Chattogram_Airport
2022,72,63,69,78,81,86,80,80,84,78,69,71,75,Chattogram_Airport
2018,78,73,75,78,84,89,90,85,85,87,77,78,81,Chattogram_Ambagan
2019,72,67,68,74,78,80,86,83,84,83,81,78,77,Chattogram_Ambagan
2020,77,65,65,80,82,86,87,85,85,83,80,80,79,Chattogram_Ambagan
2021,73,67,69,75,75,86,86,86,82,83,73,75,77,Chattogram_Ambagan
2022,74,63,67,83,84,87,85,83,85,82,75,75,78,Chattogram_Ambagan
2018,72,76,79,75,78,85,86,83,84,83,76,74,79,Kutubdia
2019,73,77,79,78,79,81,87,83,84,83,79,76,79,Kutubdia
2020,77,73,73,77,79,83,85,86,85,83,79,75,79,Kutubdia
2021,74,73,75,77,76,86,86,86,83,82,74,75,78,Kutubdia
2022,74,77,83,80,80,83,80,81,83,80,76,74,79,Kutubdia
2018,77,68,63,70,77,79,80,75,76,81,74,76,74,Rangamati
2019,74,71,68,69,71,77,83,79,80,81,79,79,75,Rangamati
2020,77,70,61,71,71,77,77,75,76,76,79,78,74,Rangamati
2021,75,68,62,64,66,80,79,77,75,77,79,79,73,Rangamati
2022,76,66,64,68,78,75,65,74,71,69,72,74,71,Rangamati
